
"105 05る 祇︽秖舦基计菌戈"
"ら戳","秨絃计","程蔼计","程计","Μ絃计"
" 105/05/03"," 8,362.35"," 8,363.59"," 8,268.41"," 8,294.12"
" 105/05/04"," 8,282.52"," 8,285.96"," 8,153.57"," 8,185.47"
" 105/05/05"," 8,182.05"," 8,207.98"," 8,122.34"," 8,167.96"
" 105/05/06"," 8,169.54"," 8,170.68"," 8,104.16"," 8,146.43"
" 105/05/09"," 8,156.65"," 8,177.36"," 8,106.13"," 8,131.83"
" 105/05/10"," 8,119.71"," 8,168.13"," 8,075.58"," 8,156.29"
" 105/05/11"," 8,182.92"," 8,204.51"," 8,115.44"," 8,135.56"
" 105/05/12"," 8,122.78"," 8,162.44"," 8,105.49"," 8,108.05"
" 105/05/13"," 8,095.93"," 8,095.93"," 7,999.98"," 8,053.69"
" 105/05/16"," 8,035.21"," 8,091.48"," 8,003.93"," 8,067.60"
" 105/05/17"," 8,081.89"," 8,151.20"," 8,047.31"," 8,140.48"
""
